"","MedicalText"
"1","Calcium, Serum"
"2","Calcium, Serum"
"3","Calcium, Serum"
"4","Calcium, Serum"
"5","Calcium, Serum"
"6","Calcium, Serum"
"7","Calcium, Serum"
"8","Calcium, Serum"
"9","Calcium, Serum"
"10","Calcium, Serum"
"11","Calcium, Serum"
"12","Calcium, Serum"
"13","Calcium, Serum"
"14","Calcium, Serum"
"15","Calcium, Serum"
"16","Calcium, Serum"
"17","Calcium, Serum"
"18","Calcium, Serum"
"19","Calcium, Serum"
"20","Calcium, Serum"
"21","Calcium, Serum"
"22","Calcium, Serum"
"23","Calcium, Serum"
"24","Calcium, Serum"
"25","Calcium, Serum"
"26","Calcium, Serum"
"27","Calcium, Serum"
"28","Calcium, Serum"
"29","Calcium, Serum"
"30","Calcium, Serum"
"31","Calcium, Serum"
"32","Calcium, Serum"
"33","Calcium, Serum"
"34","Calcium, Serum"
"35","Calcium, Serum"
"36","Calcium, Serum"
"37","Calcium, Serum"
"38","Calcium, Serum"
"39","Calcium, Serum"
"40","Calcium, Serum"
"41","Calcium, Serum"
"42","Calcium, Serum"
"43","Calcium, Serum"
"44","Calcium, Serum"
"45","Calcium, Serum"
"46","Calcium, Serum"
"47","Calcium, Serum"
"48","Calcium, Serum"
"49","Calcium, Serum"
"50","Calcium, Serum"
"51","Calcium, Serum"
"52","Calcium, Serum"
"53","Calcium, Serum"
"54","Calcium, Serum"
"55","Calcium, Serum"
"56","Calcium, Serum"
"57","Calcium, Serum"
"58","Calcium, Serum"
"59","Calcium, Serum"
"60","Calcium, Serum"
"61","Calcium, Serum"
"62","Calcium, Serum"
"63","Calcium, Serum"
"64","Calcium, Serum"
"65","Calcium, Serum"
"66","Calcium, Serum"
"67","Calcium, Serum"
"68","Calcium, Serum"
"69","Calcium, Serum"
"70","Calcium, Serum"
"71","Calcium, Serum"
"72","Calcium, Serum"
"73","Calcium, Serum"
"74","Calcium, Serum"
"75","Calcium, Serum"
"76","Calcium, Serum"
"77","Calcium, Serum"
"78","Calcium, Serum"
"79","Calcium, Serum"
"80","Calcium, Serum"
"81","Calcium, Serum"
"82","Calcium, Serum"
"83","Calcium, Serum"
"84","Calcium, Serum"
"85","Calcium, Serum"
"86","Calcium, Serum"
"87","Calcium, Serum"
"88","Calcium, Serum"
"89","Calcium, Serum"
"90","Calcium, Serum"
"91","Calcium, Serum"
"92","Calcium, Serum"
"93","Calcium, Serum"
"94","Calcium, Serum"
"95","Calcium, Serum"
"96","Calcium, Serum"
"97","Calcium, Serum"
"98","Calcium, Serum"
"99","Calcium, Serum"
"100","Calcium, Serum"
"101","Calcium, Serum"
"102","Calcium, Serum"
"103","Calcium, Serum"
"104","Calcium, Serum"
"105","Calcium, Serum"
"106","Calcium, Serum"
"107","Calcium, Serum"
"108","Calcium, Serum"
"109","Calcium, Serum"
"110","Calcium, Serum"
"111","Calcium, Serum"
"112","Calcium, Serum"
"113","Calcium, Serum"
"114","Calcium, Serum"
"115","Calcium, Serum"
"116","Calcium, Serum"
"117","Calcium, Serum"
"118","Calcium, Serum"
"119","Calcium, Serum"
"120","Calcium, Serum"
"121","Calcium, Serum"
"122","Calcium, Serum"
"123","Calcium, Serum"
"124","BUN"
"125","BUN"
"126","BUN"
"127","BUN"
"128","BUN"
"129","BUN"
"130","BUN"
"131","BUN"
"132","BUN"
"133","BUN"
"134","BUN"
"135","BUN"
"136","BUN"
"137","BUN"
"138","BUN"
"139","BUN"
"140","BUN"
"141","BUN"
"142","BUN"
"143","BUN"
"144","BUN"
"145","BUN"
"146","BUN"
"147","BUN"
"148","BUN"
"149","BUN"
"150","BUN"
"151","BUN"
"152","BUN"
"153","BUN"
"154","BUN"
"155","BUN"
"156","BUN"
"157","BUN"
"158","BUN"
"159","BUN"
"160","BUN"
"161","BUN"
"162","BUN"
"163","BUN"
"164","BUN"
"165","BUN"
"166","BUN"
"167","BUN"
"168","BUN"
"169","BUN"
"170","BUN"
"171","BUN"
"172","BUN"
"173","BUN"
"174","BUN"
"175","BUN"
"176","BUN"
"177","BUN"
"178","BUN"
"179","BUN"
"180","BUN"
"181","BUN"
"182","BUN"
"183","BUN"
"184","BUN"
"185","BUN"
"186","BUN"
"187","BUN"
"188","BUN"
"189","BUN"
"190","BUN"
"191","BUN"
"192","BUN"
"193","BUN"
"194","BUN"
"195","BUN"
"196","BUN"
"197","BUN"
"198","BUN"
"199","BUN"
"200","BUN"
"201","BUN"
"202","BUN"
"203","BUN"
"204","BUN"
"205","BUN"
"206","BUN"
"207","BUN"
"208","BUN"
"209","BUN"
"210","BUN"
"211","BUN"
"212","BUN"
"213","BUN"
"214","BUN"
"215","BUN"
"216","BUN"
"217","BUN"
"218","BUN"
"219","BUN"
"220","BUN"
"221","BUN"
"222","BUN"
"223","BUN"
"224","BUN"
"225","BUN"
"226","BUN"
"227","BUN"
"228","BUN"
"229","BUN"
"230","BUN"
"231","BUN"
"232","BUN"
"233","BUN"
"234","BUN"
"235","BUN"
"236","BUN"
"237","BUN"
"238","BUN"
"239","BUN"
"240","BUN"
"241","BUN"
"242","BUN"
"243","BUN"
"244","BUN"
"245","BUN"
"246","BUN"
"247","Uric Acid, Serum"
"248","Uric Acid, Serum"
"249","Uric Acid, Serum"
"250","Uric Acid, Serum"
"251","Uric Acid, Serum"
"252","Uric Acid, Serum"
"253","Uric Acid, Serum"
"254","Uric Acid, Serum"
"255","Cholesterol, Total"
"256","Cholesterol, Total"
"257","Cholesterol, Total"
"258","Cholesterol, Total"
"259","Cholesterol, Total"
"260","Cholesterol, Total"
"261","Cholesterol, Total"
"262","Cholesterol, Total"
"263","Cholesterol, Total"
"264","Cholesterol, Total"
"265","Cholesterol, Total"
"266","Cholesterol, Total"
"267","Cholesterol, Total"
"268","Cholesterol, Total"
"269","Cholesterol, Total"
"270","Cholesterol, Total"
"271","Cholesterol, Total"
"272","Cholesterol, Total"
"273","Cholesterol, Total"
"274","Cholesterol, Total"
"275","Cholesterol, Total"
"276","Cholesterol, Total"
"277","Cholesterol, Total"
"278","Cholesterol, Total"
"279","Cholesterol, Total"
"280","Cholesterol, Total"
"281","Cholesterol, Total"
"282","Cholesterol, Total"
"283","Cholesterol, Total"
"284","Cholesterol, Total"
"285","Cholesterol, Total"
"286","Cholesterol, Total"
"287","Cholesterol, Total"
"288","Cholesterol, Total"
"289","Cholesterol, Total"
"290","Cholesterol, Total"
"291","Cholesterol, Total"
"292","Cholesterol, Total"
"293","Cholesterol, Total"
"294","Cholesterol, Total"
"295","Cholesterol, Total"
"296","Cholesterol, Total"
"297","Cholesterol, Total"
"298","Cholesterol, Total"
"299","Cholesterol, Total"
"300","Cholesterol, Total"
"301","Cholesterol, Total"
"302","Cholesterol, Total"
"303","Cholesterol, Total"
"304","Cholesterol, Total"
"305","Cholesterol, Total"
"306","Cholesterol, Total"
"307","Cholesterol, Total"
"308","Cholesterol, Total"
"309","Cholesterol, Total"
"310","Cholesterol, Total"
"311","Cholesterol, Total"
"312","Cholesterol, Total"
"313","Cholesterol, Total"
"314","Cholesterol, Total"
"315","Cholesterol, Total"
"316","Cholesterol, Total"
"317","Cholesterol, Total"
"318","Cholesterol, Total"
"319","Cholesterol, Total"
"320","Cholesterol, Total"
"321","Cholesterol, Total"
"322","Cholesterol, Total"
"323","Cholesterol, Total"
"324","Cholesterol, Total"
"325","Cholesterol, Total"
"326","Cholesterol, Total"
"327","Cholesterol, Total"
"328","Cholesterol, Total"
"329","Cholesterol, Total"
"330","Cholesterol, Total"
"331","Cholesterol, Total"
"332","Cholesterol, Total"
"333","Cholesterol, Total"
"334","Cholesterol, Total"
"335","Cholesterol, Total"
"336","Cholesterol, Total"
"337","Cholesterol, Total"
"338","Cholesterol, Total"
"339","Cholesterol, Total"
"340","Cholesterol, Total"
"341","Cholesterol, Total"
"342","Cholesterol, Total"
"343","Cholesterol, Total"
"344","Cholesterol, Total"
"345","Cholesterol, Total"
"346","Cholesterol, Total"
"347","Cholesterol, Total"
"348","Protein, Total, Serum"
"349","Protein, Total, Serum"
"350","Protein, Total, Serum"
"351","Protein, Total, Serum"
"352","Protein, Total, Serum"
"353","Protein, Total, Serum"
"354","Protein, Total, Serum"
"355","Protein, Total, Serum"
"356","Protein, Total, Serum"
"357","Protein, Total, Serum"
"358","Protein, Total, Serum"
"359","Protein, Total, Serum"
"360","Protein, Total, Serum"
"361","Protein, Total, Serum"
"362","Protein, Total, Serum"
"363","Protein, Total, Serum"
"364","Protein, Total, Serum"
"365","Protein, Total, Serum"
"366","Protein, Total, Serum"
"367","Protein, Total, Serum"
"368","Protein, Total, Serum"
"369","Protein, Total, Serum"
"370","Protein, Total, Serum"
"371","Protein, Total, Serum"
"372","Protein, Total, Serum"
"373","Protein, Total, Serum"
"374","Protein, Total, Serum"
"375","Protein, Total, Serum"
"376","Protein, Total, Serum"
"377","Protein, Total, Serum"
"378","Protein, Total, Serum"
"379","Protein, Total, Serum"
"380","Protein, Total, Serum"
"381","Protein, Total, Serum"
"382","Protein, Total, Serum"
"383","Protein, Total, Serum"
"384","Protein, Total, Serum"
"385","Protein, Total, Serum"
"386","Protein, Total, Serum"
"387","Protein, Total, Serum"
"388","Protein, Total, Serum"
"389","Protein, Total, Serum"
"390","Protein, Total, Serum"
"391","Protein, Total, Serum"
"392","Protein, Total, Serum"
"393","Protein, Total, Serum"
"394","Protein, Total, Serum"
"395","Protein, Total, Serum"
"396","Protein, Total, Serum"
"397","Protein, Total, Serum"
"398","Protein, Total, Serum"
"399","Protein, Total, Serum"
"400","Protein, Total, Serum"
"401","Protein, Total, Serum"
"402","Protein, Total, Serum"
"403","Protein, Total, Serum"
"404","Protein, Total, Serum"
"405","Protein, Total, Serum"
"406","Protein, Total, Serum"
"407","Protein, Total, Serum"
"408","Protein, Total, Serum"
"409","Protein, Total, Serum"
"410","Protein, Total, Serum"
"411","Protein, Total, Serum"
"412","Protein, Total, Serum"
"413","Protein, Total, Serum"
"414","Protein, Total, Serum"
"415","Protein, Total, Serum"
"416","Protein, Total, Serum"
"417","Protein, Total, Serum"
"418","Protein, Total, Serum"
"419","Protein, Total, Serum"
"420","Protein, Total, Serum"
"421","Protein, Total, Serum"
"422","Protein, Total, Serum"
"423","Protein, Total, Serum"
"424","Protein, Total, Serum"
"425","Protein, Total, Serum"
"426","Protein, Total, Serum"
"427","Protein, Total, Serum"
"428","Protein, Total, Serum"
"429","Protein, Total, Serum"
"430","Protein, Total, Serum"
"431","Protein, Total, Serum"
"432","Protein, Total, Serum"
"433","Protein, Total, Serum"
"434","Protein, Total, Serum"
"435","Protein, Total, Serum"
"436","Protein, Total, Serum"
"437","Protein, Total, Serum"
"438","Protein, Total, Serum"
"439","Protein, Total, Serum"
"440","Protein, Total, Serum"
"441","Protein, Total, Serum"
"442","Protein, Total, Serum"
"443","Protein, Total, Serum"
"444","Protein, Total, Serum"
"445","Protein, Total, Serum"
"446","Protein, Total, Serum"
"447","Protein, Total, Serum"
"448","Protein, Total, Serum"
"449","Protein, Total, Serum"
"450","Protein, Total, Serum"
"451","Protein, Total, Serum"
"452","Protein, Total, Serum"
"453","Protein, Total, Serum"
"454","Protein, Total, Serum"
"455","Protein, Total, Serum"
"456","Protein, Total, Serum"
"457","Protein, Total, Serum"
"458","Protein, Total, Serum"
"459","Protein, Total, Serum"
"460","Protein, Total, Serum"
"461","Protein, Total, Serum"
"462","Protein, Total, Serum"
"463","Protein, Total, Serum"
"464","Protein, Total, Serum"
"465","Protein, Total, Serum"
"466","Protein, Total, Serum"
"467","Protein, Total, Serum"
"468","Protein, Total, Serum"
"469","Protein, Total, Serum"
"470","Protein, Total, Serum"
"471","Albumin, Serum"
"472","Albumin, Serum"
"473","Albumin, Serum"
"474","Albumin, Serum"
"475","Albumin, Serum"
"476","Albumin, Serum"
"477","Albumin, Serum"
"478","Albumin, Serum"
"479","Albumin, Serum"
"480","Albumin, Serum"
"481","Albumin, Serum"
"482","Albumin, Serum"
"483","Albumin, Serum"
"484","Albumin, Serum"
"485","Albumin, Serum"
"486","Albumin, Serum"
"487","Albumin, Serum"
"488","Albumin, Serum"
"489","Albumin, Serum"
"490","Albumin, Serum"
"491","Albumin, Serum"
"492","Albumin, Serum"
"493","Albumin, Serum"
"494","Albumin, Serum"
"495","Albumin, Serum"
"496","Albumin, Serum"
"497","Albumin, Serum"
